edge_type_id target_query source_query delay target_sections distance_range dynamics_params syn_weight model_template
100 cell_name=='PUD_2' cell_name=='PUD_0' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
101 cell_name=='PUD_5' cell_name=='PUD_0' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
102 cell_name=='PUD_9' cell_name=='PUD_0' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
103 cell_name=='PUD_3' cell_name=='PUD_1' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
104 cell_name=='PUD_4' cell_name=='PUD_1' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
105 cell_name=='PUD_5' cell_name=='PUD_1' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
106 cell_name=='PUD_8' cell_name=='PUD_1' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
107 cell_name=='PUD_5' cell_name=='PUD_2' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
108 cell_name=='PUD_8' cell_name=='PUD_2' 0.0 ['soma'] "[0.0, 999.0]" GABA_InhToExc.json 0.005 Exp2Syn
109 cell_name=='PUD_4' cell_name=='PUD_3' 0.0 ['soma'] "[0.0, 999.0]" GABA_InhToExc.json 0.005 Exp2Syn
110 cell_name=='PUD_6' cell_name=='PUD_3' 0.0 ['soma'] "[0.0, 999.0]" GABA_InhToExc.json 0.005 Exp2Syn
111 cell_name=='PUD_3' cell_name=='PUD_4' 0.0 ['soma'] "[0.0, 999.0]" GABA_InhToExc.json 0.005 Exp2Syn
112 cell_name=='PUD_6' cell_name=='PUD_4' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
113 cell_name=='PUD_6' cell_name=='PUD_5' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
114 cell_name=='PUD_7' cell_name=='PUD_6' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
115 cell_name=='PUD_11' cell_name=='PUD_6' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
116 cell_name=='PUD_5' cell_name=='PUD_7' 0.0 ['soma'] "[0.0, 999.0]" GABA_InhToExc.json 0.005 Exp2Syn
117 cell_name=='PUD_10' cell_name=='PUD_9' 0.0 ['soma'] "[0.0, 999.0]" AMPA_ExcToExc.json 0.005 Exp2Syn
