edge_type_id target_query source_query syn_weight dynamics_params distance_range delay target_sections model_template
100 pop_name=='IND' pop_name=='Bladaff' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
101 pop_name=='IND' pop_name=='EUSaff' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
102 pop_name=='IND' pop_name=='PAGaff' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
103 pop_name=='PAGaff' pop_name=='Bladaff' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
104 pop_name=='Hypo' pop_name=='Bladaff' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
105 pop_name=='IMG' pop_name=='Hypo' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
106 pop_name=='INmplus' pop_name=='EUSaff' 1.2e-08 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
107 pop_name=='INmminus' pop_name=='EUSaff' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
108 pop_name=='PGN' pop_name=='INmplus' 0.012 GABA_InhToInh.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
109 pop_name=='PGN' pop_name=='INmminus' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
110 pop_name=='MPG' pop_name=='PGN' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
111 pop_name=='FB' pop_name=='PGN' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
112 pop_name=='IND' pop_name=='FB' 0.012 GABA_InhToInh.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
113 pop_name=='Bladmn' pop_name=='MPG' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
114 pop_name=='Bladmn' pop_name=='IMG' 0.012 GABA_InhToInh.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
115 pop_name=='EUSmn' pop_name=='PAGaff' 0.012 GABA_InhToInh.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
116 pop_name=='EUSmn' pop_name=='EUSaff' 0.012 AMPA_ExcToExc.json "[0.0, 300.0]" 2.0 ['somatic'] Exp2Syn
