gid spike-times
10 56.32839167762509,113.65678335525018,171.98517503287528,231.31356671050037,291.64195838812543,345.9703500657505,412.29874174337556,460.6271334210006,510.9555250986257,561.2839167762507,612.6123084538758,665.9407001315009,720.2690918091259,774.597483486751,832.9258751643761,887.2542668420011,947.5826585196262,1009.9110501972513,1051.2394418748763,1109.5678335525015
11 65.73662019619589,128.47324039239177,199.20986058858767,263.94648078478355,338.6831009809794,407.4197211771753,474.15634137337116,547.8929615695671,623.629581765763,695.3662019619588,768.1028221581547,840.8394423543506,904.5760625505465,972.3126827467423,1034.0493029429383,1093.7859231391342,1154.52254333533,1229.259163531526,1294.9957837277218,1360.7324039239177
12 80.55505987156803,149.11011974313607,215.6651796147041,289.22023948627213,360.77529935784014,432.33035922940815,506.88541910097615,572.4404789725442,636.9955388441122,705.5505987156802,787.1056585872482,857.6607184588162,934.2157783303842,1005.7708382019522,1083.3258980735202,1157.8809579450883,1218.4360178166564,1285.9910776882246,1367.5461375597927,1439.1011974313608
13 87.75801581956513,177.51603163913026,253.2740474586954,336.0320632782605,403.79007909782564,495.54809491739076,584.3061107369559,662.064126556521,748.8221423760862,832.5801581956513,916.3381740152164,998.0961898347815,1070.8542056543467,1162.6122214739119,1252.370237293477,1332.128253113042,1428.8862689326072,1518.6442847521723,1605.4023005717374,1684.1603163913026
14 89.92161441476145,187.8432288295229,264.76484324428435,344.6864576590458,444.60807207380725,527.5296864885687,608.4513009033301,686.3729153180916,771.2945297328531,858.2161441476146,961.1377585623761,1052.0593729771376,1139.9809873918991,1233.9026018066606,1326.8242162214221,1414.7458306361837,1487.6674450509452,1565.5890594657067,1658.5106738804682,1751.4322882952297
15 54.114431092536115,114.22886218507223,178.34329327760835,228.45772437014446,299.5721554626806,372.6865865552167,431.8010176477528,501.9154487402889,552.029879832825,602.1443109253612,670.2587420178974,732.3731731104335,788.4876042029697,852.6020352955059,920.716466388042,976.8308974805782,1037.9453285731142,1104.0597596656503,1158.1741907581863,1218.2886218507224
16 78.71466745125755,168.4293349025151,246.14400235377266,319.8586698050302,402.5733372562878,473.2880047075454,548.002672158803,623.7173396100605,709.4320070613181,779.1466745125757,856.8613419638333,944.5760094150909,1026.2906768663483,1103.005344317606,1174.7200117688635,1250.434679220121,1327.1493466713787,1401.8640141226363,1471.5786815738938,1545.2933490251514
17 74.3292244470118,131.6584488940236,193.9876733410354,259.3168977880472,332.646122235059,392.97534668207084,458.30457112908266,515.6337955760945,577.9630200231063,645.2922444701181,702.62146891713,757.9506933641418,835.2799178111536,889.6091422581654,953.9383667051773,1020.2675911521891,1088.596815599201,1157.9260400462126,1241.2552644932243,1294.584488940236
18 83.28251440662196,151.5650288132439,235.84754321986588,316.1300576264878,394.41257203310977,462.6950864397317,529.9776008463537,608.2601152529757,694.5426296595977,781.8251440662197,863.1076584728416,955.3901728794636,1040.6726872860856,1119.9552016927075,1199.2377160993294,1291.5202305059513,1385.8027449125732,1466.085259319195,1541.367773725817,1634.6502881324388
19 97.17513705774428,198.35027411548856,306.52541117323284,402.7005482309771,500.8756852887214,595.0508223464657,683.22595940421,779.4010964619542,885.5762335196985,989.7513705774427,1086.926507635187,1180.1016446929311,1278.2767817506754,1379.4519188084196,1471.6270558661638,1563.802192923908,1646.9773299816522,1740.1524670393965,1836.3276040971407,1931.502741154885
